DTM,HZB,IDiga,AREA,Q,R,P,T,ET_mmday
2012-10-12,207290,1003,12623,15.5,0.10609205418680188,1.45475939597236,8.350442290306091,0.5882952809333801
2012-10-12,207308,1004,24137.8,38.4,0.1374508033043608,1.342451261356473,7.720286726951599,0.714936375617981
2012-10-14,207290,1003,12623,15.1,0.10335419472391666,0.07984590309206396,9.287318110466003,0.9077121019363404
2012-10-14,207308,1004,24137.8,36,0.12886012809783826,0.24489791365340352,9.705365180969238,0.8750512599945068
2012-10-16,207290,1003,12623,22.8,0.15605798938445695,11.870206862688065,6.772235155105591,0.24478575587272644
2012-10-16,207308,1004,24137.8,39.6,0.14174614090762208,16.7061168551445,7.354308485984802,0.23932766914367676
2012-10-18,207290,1003,12623,30.7,0.21013071377643985,0.01659126902814023,10.475269794464111,0.9112663865089417
2012-10-18,207308,1004,24137.8,84.9,0.30389513543073526,0.01113130617886781,10.935901403427124,0.9338514804840088
2012-10-20,207290,1003,12623,20.5,0.140315297472867,0.00375040457583963,10.702341318130491,0.9410645961761476
2012-10-20,207308,1004,24137.8,53.6,0.1918584129456703,0.0038210661150515,11.224948167800903,0.9231207966804504
2012-10-22,207290,1003,12623,19.1,0.13073278935276875,0.0751380767324008,9.811500787734984,0.6682049036026001
2012-10-22,207308,1004,24137.8,48.2,0.17252939373099457,0.05529809719882905,10.055970907211304,0.6415727734565735
2012-10-24,207290,1003,12623,17.9,0.12251921096411313,0.0127756706206128,8.90927541255951,0.38341256976127625
2012-10-24,207308,1004,24137.8,34.6,0.12384890089403344,0.02691747306380421,9.21206033229828,0.35183286666870117
2012-10-26,207290,1003,12623,17.7,0.12115028123267052,1.864544845186174,6.726940274238586,0.5088692307472229
2012-10-26,207308,1004,24137.8,38.3,0.137092858504089,2.5552692292258143,6.5561312437057495,0.481189101934433
2012-10-28,207290,1003,12623,18,0.12320367582983442,0.6271894969977438,0.24471648409962657,0.3418958783149719
2012-10-28,207308,1004,24137.8,99.7,0.3568709658709576,0.802700491156429,0.06938885897397995,0.3015206456184387
2012-10-30,207290,1003,12623,22.5,0.15400459478729303,0.25062962365336716,0.6662488281726837,0.33482906222343445
2012-10-30,207308,1004,24137.8,87.7,0.31391758983834483,0.3628121002111584,0.2035482227802277,0.3093455135822296
2012-11-01,207290,1003,12623,15.8,0.10814544878396576,4.212073240429163,4.375312328338623,0.19347728788852692
2012-11-01,207308,1004,24137.8,57.9,0.20725003935735653,4.7798119485378265,4.960896849632263,0.22303099930286407
2012-11-03,207290,1003,12623,20.7,0.1416842272043096,0.00567656386556336,5.85614287853241,0.4071681201457978
2012-11-03,207308,1004,24137.8,61.2,0.21906221776632503,0.00424073141766712,5.910560727119446,0.36889705061912537
2012-11-05,207290,1003,12623,27.4,0.18754337320763684,10.016397855477408,6.68536376953125,0.2633711099624634
2012-11-05,207308,1004,24137.8,69.7,0.2494875257894257,12.57879389449954,7.454532623291016,0.23952864110469815
2012-11-07,207290,1003,12623,22.9,0.15674245425017824,0.7121478307526559,4.099832653999329,0.3387967050075531
2012-11-07,207308,1004,24137.8,137,0.4903843763723289,0.7410074602812529,3.9715365767478943,0.31073296070098877
2012-11-09,207290,1003,12623,19.8,0.13552404341281787,0.2607672786107287,5.679434299468994,0.3911576569080353
2012-11-09,207308,1004,24137.8,82.3,0.2945885706236691,0.21757992159109563,5.631797790527344,0.34216317534446716
2012-11-11,207290,1003,12623,16.9,0.11567456230690008,0.03220808686455712,7.060929536819458,0.3990810215473175
2012-11-11,207308,1004,24137.8,71,0.25414080819295876,0.04649360303301364,7.460914134979248,0.43509018421173096
2012-11-13,207290,1003,12623,16,0.10951437851540838,0.1262572300620377,6.52993381023407,0.27636924386024475
2012-11-13,207308,1004,24137.8,59.5,0.2129771561617049,0.09317478444427252,6.322416663169861,0.26147860288619995
2012-11-15,207290,1003,12623,16.8,0.1149900974411788,0.00533977639861404,3.3408388197422028,0.2652716040611267
2012-11-15,207308,1004,24137.8,56.4,0.20188086735327992,0.01783407427137717,3.071201890707016,0.2639250159263611
2012-11-17,207290,1003,12623,15.4,0.10540758932108056,0.24724162369966507,5.005308747291565,0.1762668937444687
2012-11-17,207308,1004,24137.8,49.7,0.17789856573507115,0.40509046614170074,5.14262330532074,0.20637913048267365
2012-11-19,207290,1003,12623,17.5,0.11978135150122791,0.02602382452460006,4.688786566257477,0.16867920756340027
2012-11-19,207308,1004,24137.8,50.7,0.18147801373778888,0.01635644969064742,5.454153418540955,0.16344299912452698
2012-11-21,207290,1003,12623,18,0.12320367582983442,0.517608777503483,5.1929720640182495,0.16465310752391815
2012-11-21,207308,1004,24137.8,47.1,0.16859200092800505,0.6477717841044068,5.3189520835876465,0.190717414021492
2012-11-23,207290,1003,12623,18.3,0.12525707042699835,1.0604341672733426,5.39523708820343,0.10590586066246031
2012-11-23,207308,1004,24137.8,47.7,0.1707396697296357,0.9274142738431692,5.662118554115295,0.10557074099779128
2012-11-25,207290,1003,12623,15,0.10266972985819536,0.08004267909564078,5.826110482215881,0.15372468531131744
2012-11-25,207308,1004,24137.8,43.4,0.15534804331794946,0.12345218914560974,6.226305961608887,0.14670206606388092
2012-11-27,207290,1003,12623,14.6,0.09993187039531014,0.08643989660777152,6.363420844078064,0.1028239279985428
2012-11-27,207308,1004,24137.8,40,0.14317792010870917,0.12134191393852234,7.117267370223999,0.1057184636592865
2012-11-29,207290,1003,12623,14.5,0.09924740552958884,1.4136787801980972,6.074291527271271,0.2434426248073578
2012-11-29,207308,1004,24137.8,39.8,0.1424620305081656,2.108764350414276,6.699925184249878,0.2299129217863083
2012-12-01,207290,1003,12623,13.6,0.09308722173809712,0.00427165965083986,-1.3092272863723338,0.1625209599733353
2012-12-01,207308,1004,24137.8,40.1,0.14353586490898093,0.00917535951884929,-1.2135016955435276,0.16668248176574707
2012-12-03,207290,1003,12623,15.2,0.10403865958963796,0.20411453524138776,-1.2468415051698685,0.16555477678775787
2012-12-03,207308,1004,24137.8,40.2,0.14389380970925275,0.1978906177682802,-1.4173046499490738,0.16989460587501526
2012-12-05,207290,1003,12623,13.9,0.09514061633526102,0.5362469144165516,-0.7133385986089706,0.10522731393575668
2012-12-05,207308,1004,24137.8,37.5,0.13422930010191486,0.31187520641833544,-0.9558264911174774,0.10771181434392928
2012-12-07,207290,1003,12623,14.2,0.09719401093242494,0.05044005968375131,-5.425575137138367,0.10720320791006088
2012-12-07,207308,1004,24137.8,39.7,0.14210408570789387,0.03738887287909165,-5.573717832565308,0.10435745120048524
2012-12-09,207290,1003,12623,13.5,0.0924027568723758,1.2890869656694122,-6.708683609962463,0.1256876438856125
2012-12-09,207308,1004,24137.8,36.1,0.12921807289811002,1.1669986881897785,-7.39228618144989,0.11822958290576936
2012-12-11,207290,1003,12623,11.5,0.07871345955794978,1.5745741128921509,-4.239940345287323,0.07088284939527512
2012-12-11,207308,1004,24137.8,28.8,0.1030881024782706,1.489353783428669,-4.659603595733643,0.0674615129828453
2012-12-13,207290,1003,12623,11.6,0.07939792442367108,0.02910096461710054,-7.319291949272156,0.08318696171045303
2012-12-13,207308,1004,24137.8,36.7,0.1313657416997407,0.03338771683047525,-8.377145409584045,0.08338461816310883
2012-12-15,207290,1003,12623,12.8,0.08761150281232671,3.9420194141566753,0.9240941163152456,0.04701733961701393
2012-12-15,207308,1004,24137.8,34.3,0.1227750664932181,4.953601583838463,1.1601280570030212,0.04614358022809028
2012-12-17,207290,1003,12623,21,0.1437376218014735,1.363178551197052,0.06543317437171936,0.05082767829298973
2012-12-17,207308,1004,24137.8,58.9,0.21082948736007423,1.6970345824956894,0.46857598796486855,0.04853889346122742
2012-12-19,207290,1003,12623,19.6,0.1341551136813753,0.5642542764544487,1.0442332476377487,0.08114944398403168
2012-12-19,207308,1004,24137.8,75.8,0.2713221586060039,0.6263864859938622,1.0373284369707108,0.08424554765224457
2012-12-21,207290,1003,12623,17,0.1163590271726214,0.30940797575749457,-3.2264760732650757,0.08599888533353806
2012-12-21,207308,1004,24137.8,68.5,0.24519218818616445,0.17425195139367133,-3.558680355548858,0.08900603652000427
2012-12-23,207290,1003,12623,16.3,0.11156777311257228,14.019940853118896,-1.5156072899699211,0.04277631640434265
2012-12-23,207308,1004,24137.8,55.6,0.19901730895110575,11.93466830253601,-1.922232747077942,0.04778355360031128
2012-12-25,207290,1003,12623,23.2,0.15879584884734216,0.10924895573407412,-0.5099644400179386,0.06213391572237015
2012-12-25,207308,1004,24137.8,62.3,0.22299961056931453,0.11009125225245953,-0.02263583987951278,0.06065770611166954
2012-12-27,207290,1003,12623,18.3,0.12525707042699835,3.601435661315918,2.5518061816692352,0.16670112311840057
2012-12-27,207308,1004,24137.8,63.7,0.22801083777311937,4.56588988006115,2.2789826691150665,0.14274099469184875
2012-12-29,207290,1003,12623,23.5,0.16084924344450607,0.00405779789434745,-2.493017613887787,0.17412330210208893
2012-12-29,207308,1004,24137.8,93.9,0.33611016745519484,0.0035228754277341,-2.6776401437819004,0.20440997183322904
2012-12-31,207290,1003,12623,25.9,0.17727640022181732,0.0027082827873528,0.3718771459534764,0.10302923247218132
2012-12-31,207308,1004,24137.8,93.1,0.33324660905302056,0.00281154448748566,0.00837025418877601,0.11801761388778688
2013-01-02,207290,1003,12623,25.2,0.17248514616176822,1.0567199703655206,-0.10679727792739868,0.11689874529838562
2013-01-02,207308,1004,24137.8,76.6,0.274185717008178,0.7265238944673911,-0.2617691606283188,0.10762517899274826
2013-01-04,207290,1003,12623,25.7,0.17590747049037472,4.261869298294187,5.606561064720154,0.1689908355474472
2013-01-04,207308,1004,24137.8,66.9,0.23946507138181616,3.9849018901586537,5.35207986831665,0.16200779378414154
2013-01-06,207290,1003,12623,31.6,0.21629089756793152,5.349159508943558,2.582488536834717,0.09855412691831587
2013-01-06,207308,1004,24137.8,98.2,0.351501793866881,5.88188248872757,1.5921319276094437,0.09134942293167114
2013-01-08,207290,1003,12623,55.9,0.382615859938208,3.037578046321869,-1.4674175828695295,0.06901295483112335
2013-01-08,207308,1004,24137.8,128,0.4581693443478694,3.4665209129452705,-2.5229319781064987,0.0740521252155304
